Element,Component,forces,Loadcase
1,Mx_i,-3.933268204403444,point
1,Mx_j,1.672245999095221,point
1,My_i,-0.0,point
1,My_j,0.0,point
1,Mz_i,-4.1597931283397435e-12,point
1,Mz_j,4.1597931283397435e-12,point
1,Vx_i,0.0,point
1,Vx_j,0.0,point
1,Vy_i,1.8841851710901858,point
1,Vy_j,-1.8841851710901858,point
1,Vz_i,0.0,point
1,Vz_j,0.0,point
1,ddtheta_x,,point
1,ddtheta_y,,point
1,ddtheta_z,,point
1,ddx,,point
1,ddy,,point
1,ddz,,point
1,dtheta_x,,point
1,dtheta_y,,point
1,dtheta_z,,point
1,dx,,point
1,dy,,point
1,dz,,point
1,theta_x,,point
1,theta_y,,point
1,theta_z,,point
1,x,,point
1,y,,point
1,z,,point
2,Mx_i,-6.34110997769228,point
2,Mx_j,-2.2480747547079902,point
2,My_i,-0.0,point
2,My_j,0.0,point
2,Mz_i,-6.3534861796239506e-12,point
2,Mz_j,6.3534861796239506e-12,point
2,Vx_i,0.0,point
2,Vx_j,0.0,point
2,Vy_i,2.1608011905409485,point
2,Vy_j,-2.1608011905409485,point
2,Vz_i,0.0,point
2,Vz_j,0.0,point
2,ddtheta_x,,point
2,ddtheta_y,,point
2,ddtheta_z,,point
2,ddx,,point
2,ddy,,point
2,ddz,,point
2,dtheta_x,,point
2,dtheta_y,,point
2,dtheta_z,,point
2,dx,,point
2,dy,,point
2,dz,,point
2,theta_x,,point
2,theta_y,,point
2,theta_z,,point
2,x,,point
2,y,,point
2,z,,point
3,Mx_i,-4.122797168134912,point
3,Mx_j,-10.090554804546125,point
3,My_i,-0.0,point
3,My_j,0.0,point
3,Mz_i,-6.512389611379464e-12,point
3,Mz_j,6.512389611379464e-12,point
3,Vx_i,0.0,point
3,Vx_j,0.0,point
3,Vy_i,3.5756860308631526,point
3,Vy_j,-3.5756860308631526,point
3,Vz_i,0.0,point
3,Vz_j,0.0,point
3,ddtheta_x,,point
3,ddtheta_y,,point
3,ddtheta_z,,point
3,ddx,,point
3,ddy,,point
3,ddz,,point
3,dtheta_x,,point
3,dtheta_y,,point
3,dtheta_z,,point
3,dx,,point
3,dy,,point
3,dz,,point
3,theta_x,,point
3,theta_y,,point
3,theta_z,,point
3,x,,point
3,y,,point
3,z,,point
4,Mx_i,6.188878877442322,point
4,Mx_j,-2.7258297614219407,point
4,My_i,0.0,point
4,My_j,0.0,point
4,Mz_i,-2.8921168720759426e-12,point
4,Mz_j,2.8921168720759426e-12,point
4,Vx_i,0.0,point
4,Vx_j,0.0,point
4,Vy_i,-2.8858742633503196,point
4,Vy_j,2.8858742633503196,point
4,Vz_i,0.0,point
4,Vz_j,0.0,point
4,ddtheta_x,,point
4,ddtheta_y,,point
4,ddtheta_z,,point
4,ddx,,point
4,ddy,,point
4,ddz,,point
4,dtheta_x,,point
4,dtheta_y,,point
4,dtheta_z,,point
4,dx,,point
4,dy,,point
4,dz,,point
4,theta_x,,point
4,theta_y,,point
4,theta_z,,point
4,x,,point
4,y,,point
4,z,,point
5,Mx_i,-3.0299943639650397,point
5,Mx_j,1.3611950873477725,point
5,My_i,0.0,point
5,My_j,0.0,point
5,Mz_i,3.172918923997105e-12,point
5,Mz_j,-3.172918923997105e-12,point
5,Vx_i,0.0,point
5,Vx_j,0.0,point
5,Vy_i,1.3906660638477228,point
5,Vy_j,-1.3906660638477228,point
5,Vz_i,0.0,point
5,Vz_j,0.0,point
5,ddtheta_x,,point
5,ddtheta_y,,point
5,ddtheta_z,,point
5,ddx,,point
5,ddy,,point
5,ddz,,point
5,dtheta_x,,point
5,dtheta_y,,point
5,dtheta_z,,point
5,dx,,point
5,dy,,point
5,dz,,point
5,theta_x,,point
5,theta_y,,point
5,theta_z,,point
5,x,,point
5,y,,point
5,z,,point
6,Mx_i,-4.953191056688048,point
6,Mx_j,-1.7961168043162012,point
6,My_i,0.0,point
6,My_j,-0.0,point
6,Mz_i,4.862117054575423e-12,point
6,Mz_j,-4.862117054575423e-12,point
6,Vx_i,0.0,point
6,Vx_j,0.0,point
